datetime,station,PumpCycle,co2_flux,diff_ch4,ebul_ch4
2024-10-05T14:42:00Z,1,2,-666.794628225177,NA,635.285375084795
2024-10-05T15:51:04Z,1,3,-830.510369955334,41.6594759856209,596.071301544106
2024-10-05T16:55:07Z,1,4,-654.072668322986,NA,584.807679159171
2024-10-05T17:55:52Z,1,5,-891.958773222919,26.7720595875165,194.943230453606
2024-10-05T18:51:35Z,1,6,-669.062193561168,NA,522.797417113921
2024-10-05T19:53:56Z,1,7,-526.645931873981,NA,878.650481111627
2024-10-05T20:56:18Z,1,8,-787.47021503867,NA,111.588081321213
2024-10-05T21:58:38Z,1,9,-775.251294095797,NA,399.108048047403
2024-10-05T23:00:58Z,1,10,-815.158549423355,NA,446.960753706842
2024-10-06T00:03:17Z,1,11,-797.261663329185,NA,538.344432264811
2024-10-06T01:05:37Z,1,12,-678.328731233745,NA,609.519547581782
2024-10-06T02:07:57Z,1,13,-731.65803264667,NA,466.784737298609
2024-10-06T03:10:16Z,1,14,-731.204250444585,NA,640.97000866211
2024-10-06T04:12:35Z,1,15,-740.910962726285,NA,301.707387261134
2024-10-06T05:14:55Z,1,16,-772.739475456642,NA,189.636839308586
2024-10-06T06:17:15Z,1,17,-732.510355984948,NA,201.905516281435
2024-10-06T07:19:36Z,1,18,-661.362896201801,NA,241.008005242205
2024-10-06T08:21:55Z,1,19,-665.858970920119,118.052138738316,0
2024-10-06T09:24:15Z,1,20,-636.741494010607,NA,489.325916661067
2024-10-06T10:26:38Z,1,21,-911.813839293627,28.2326326494125,339.893889758562
2024-10-06T11:29:01Z,1,22,-903.277996588593,NA,834.966228182821
2024-10-06T12:31:25Z,1,23,-958.422435461739,NA,394.441740300198
2024-10-06T13:33:49Z,1,24,-999.221152731949,NA,1857.35305257889
2024-10-06T14:36:12Z,1,25,-959.73906266,NA,633.752771118044
2024-10-06T15:38:35Z,1,26,-1062.28530348146,NA,430.832797057782
2024-10-05T14:49:57Z,3,2,-330.653719123398,NA,0
2024-10-05T15:52:20Z,3,3,-745.620045692305,19.2615231793358,0
2024-10-05T16:54:43Z,3,4,-784.852545453148,14.0347078448577,0
2024-10-05T17:57:05Z,3,5,-765.042640990414,20.5196698356198,0
2024-10-05T18:59:26Z,3,6,-776.882870001633,5.15330381177016,0
2024-10-05T20:01:46Z,3,7,-810.210565615608,5.50607931903348,0
2024-10-05T21:04:06Z,3,8,-894.859042218797,7.47276746803006,0
2024-10-05T22:06:24Z,3,9,-934.233505298731,7.46396843203335,0
2024-10-05T23:08:43Z,3,10,-891.044501325694,NA,170.690444789155
2024-10-06T00:11:02Z,3,11,-751.379390853676,5.22363888927918,0
2024-10-06T01:13:21Z,3,12,-938.29049641098,7.50673023923269,23.4711650234735
2024-10-06T02:15:40Z,3,13,-631.482340802939,-2.87002870485708,0
2024-10-06T03:17:59Z,3,14,-1099.48621140527,10.3400792982806,0
2024-10-06T04:20:18Z,3,15,-853.706773227849,6.26618673751155,0
2024-10-06T05:22:37Z,3,16,-758.0260380884,4.05292188955466,0
2024-10-06T06:24:55Z,3,17,-893.353940811687,7.8775462805517,112.527788573556
2024-10-06T07:27:14Z,3,18,-701.552557090152,1.79386227067022,0
2024-10-06T08:29:33Z,3,19,-1040.28121764364,8.37036037158331,0
2024-10-06T09:31:52Z,3,20,-940.618283403548,26.3141387307899,0
2024-10-06T10:34:14Z,3,21,-956.045997465527,-0.719916554798257,0
2024-10-06T11:36:36Z,3,22,-789.673024521137,NA,113.891928000916
2024-10-06T12:38:58Z,3,23,-851.819496129746,38.2598350401796,0
2024-10-06T13:41:21Z,3,24,-494.54062378093,-6.43345073246139,0
2024-10-06T14:43:43Z,3,25,-569.189005593321,22.4919242632555,0
2024-10-06T15:46:05Z,3,26,-557.669381081757,NA,93.1689085690461
2024-10-05T15:47:44Z,4,3,-591.875602726937,98.3948976022279,0
2024-10-05T16:47:32Z,4,4,-425.261597233694,NA,337.380078514956
2024-10-05T17:47:21Z,4,5,-522.782154266479,31.1880485033837,0
2024-10-05T18:47:09Z,4,6,-387.516869066815,13.5601026884527,0
2024-10-05T19:46:55Z,4,7,-574.698448830179,33.8398296275471,0
2024-10-05T20:46:41Z,4,8,-510.655977641206,26.6753203632121,0
2024-10-05T21:46:27Z,4,9,-589.542424525692,35.0821654253902,0
2024-10-05T22:46:11Z,4,10,-557.177156892572,43.211236540924,0
2024-10-05T23:45:55Z,4,11,-575.037172610065,15.0556768327995,0
2024-10-06T00:45:41Z,4,12,-605.495855117453,39.9215265132326,0
2024-10-06T01:45:26Z,4,13,-626.150565826361,91.4623035449017,0
2024-10-06T02:45:10Z,4,14,-536.494404905381,NA,666.307602734195
2024-10-06T03:44:54Z,4,15,-636.21857523795,42.3424053814727,0
2024-10-06T04:44:38Z,4,16,-528.50862144548,45.4285520077421,0
2024-10-06T05:44:23Z,4,17,-540.967682880686,36.7537335960208,0
2024-10-06T06:44:08Z,4,18,-638.78727596101,39.8431363696255,0
2024-10-06T07:43:54Z,4,19,-439.51142735857,49.8558843334938,0
2024-10-06T08:43:40Z,4,20,-672.635617494289,74.7314025836715,0
2024-10-06T09:43:25Z,4,21,-589.299599058984,77.7651905611766,0
2024-10-06T10:43:11Z,4,22,-656.996322795942,NA,629.863321977437
2024-10-06T11:42:59Z,4,23,-630.321758623055,NA,25.5976563121977
2024-10-06T12:42:46Z,4,24,-458.905737284697,NA,187.865332477033
2024-10-06T13:42:36Z,4,25,-606.914683716608,NA,68.5690047933551
2024-10-06T14:42:25Z,4,26,-577.516685404544,NA,113.127669477768
2024-10-06T15:42:14Z,4,27,-784.713523140507,NA,134.037960819294
2024-10-05T16:28:52Z,5,3,-746.430746794278,NA,324.35841883992
2024-10-05T17:33:22Z,5,4,-737.737461602149,20.7073302807893,114.96697097906
2024-10-05T18:37:51Z,5,5,-730.017931702396,NA,107.320200271854
2024-10-05T19:42:19Z,5,6,-627.701584676589,NA,272.996186024166
2024-10-05T20:46:46Z,5,7,-698.472147841129,NA,388.663563759442
2024-10-05T21:51:13Z,5,8,-839.679371995738,NA,63.8514022141268
2024-10-05T22:55:39Z,5,9,-979.608344351469,NA,296.464954629952
2024-10-06T00:00:06Z,5,10,-859.903354580736,NA,177.074448677241
2024-10-06T01:04:31Z,5,11,-754.884317483945,NA,230.856723432747
2024-10-06T02:08:57Z,5,12,-912.874261047241,NA,88.9898645542227
2024-10-06T03:13:23Z,5,13,-855.077687798032,NA,94.987894642212
2024-10-06T04:17:48Z,5,14,-937.605580127444,NA,306.351850044263
2024-10-06T05:22:14Z,5,15,-982.284678315609,21.4403941257037,150.80052122491
2024-10-06T06:26:41Z,5,16,-1039.47444622494,NA,63.0593879356757
2024-10-06T07:31:07Z,5,17,-822.870860640117,NA,36.4410085820577
2024-10-06T08:35:32Z,5,18,-899.696075219523,NA,514.229077852626
2024-10-06T09:39:56Z,5,19,-759.980265442906,32.8741301794213,245.450438536054
2024-10-06T10:44:25Z,5,20,-911.625659341197,5.21581284961626,0
2024-10-06T11:48:56Z,5,21,-1032.53312099268,NA,60.4925129723668
2024-10-06T12:53:27Z,5,22,-594.725597587475,NA,199.997160481464
2024-10-06T13:57:57Z,5,23,-1131.03245543715,NA,85.5603535674607
2024-10-06T15:02:27Z,5,24,-1073.07406438061,NA,272.989584903703
2024-10-06T16:06:51Z,5,25,-975.273088949864,NA,61.5431786609859
