x,y,name
11.5731988,54.7137707,Garn1
11.5718322,54.7275692,Garn10
11.5761787,54.7268925,Garn11
11.5808817,54.7271825,Garn12
11.569955,54.715593,Garn2
11.5729557,54.7179181,Garn3
11.5733034,54.7202336,Garn4
11.5692902,54.7223199,Garn5
11.567413,54.7238873,Garn6
11.566961,54.7268524,Garn7
11.557352,54.7280135,Garn8
11.5645507,54.7290212,Garn9
