﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesmetode;Undersøgelsesniveau;Søtype/Sønaturtype;Teknisk anvisning;Dataejer;Link;Sø areal (m2);Taxonkode;Artkode;Art latin;Art;RPA %;Total RPA (m2);Total RPA (%);Total RPV (%);Største dybdegrænse (cm);Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;0,3397538883280318;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2900500030840;6475;Potamogeton berchtoldii;Liden vandaks;0,1775440225276437;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;3,666887681313375;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;1601010101303;95;Chara vulgaris var. contraria;Buttornet kransnål;15,489956861516777;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;0,8123805499890665;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;8,716241948111668;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;2,0305045166358004;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;0,015085524607974906;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2503550030060;2395;Ceratophyllum submersum;Tornløs hornblad;0,38206372807432315;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;2900650030031;6514;Zannichellia palustris var. palustris;Krybende vandkrans;0,03984271041386121;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2140575;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;2,1223254671818736;568612,4436607143;26,56356235740217;1,3170856872366188;200;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2140575;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;0,7231520384284854;568612,4436607143;26,56356235740217;1,3170856872366188;200;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2140575;2503550030060;2395;Ceratophyllum submersum;Tornløs hornblad;0,18660275963694253;568612,4436607143;26,56356235740217;1,3170856872366188;200;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2015010100100;947;Fontinalis antipyretica;Almindelig kildemos;0,5704751718348311;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;2140575;2900700030030;6518;Najas marina;Stor najade;24,926310795149533;568612,4436607143;26,56356235740217;1,3170856872366188;200;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;2,920625916129311;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2705700030031;8431;Hippuris vulgaris f. submersum;Hestehale/Vandspir, submers;0,10531849326181497;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;1601010100000;77;Chara;Kransnålealgeslægten;0,02850167533023478;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;0,10531849326181497;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;5,535289727608093;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;1601010500100;112;Nitellopsis obtusa;Stjernetråd;0,0021082361280523178;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;1601010100800;84;Chara globularis;Skør kransnål;0,8269747165828962;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;2900700030030;6518;Najas marina;Stor najade;20,775336443302056;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;1601010100100;78;Chara aspera;Ru kransnål;1,492011987875712;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;1601010100800;84;Chara globularis;Skør kransnål;1,4007469308365958;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;0,06798543089994023;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;1601010100100;78;Chara aspera;Ru kransnål;0,7986652405687635;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;2900700030030;6518;Najas marina;Stor najade;19,760125349809226;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;1601010101300;92;Chara vulgaris;Almindelig kransnål;0,7099677607091391;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;1601010500100;112;Nitellopsis obtusa;Stjernetråd;0,12611372048512243;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;1601010100000;77;Chara;Kransnålealgeslægten;6,260167533283015;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;2140575;2900500030840;6475;Potamogeton berchtoldii;Liden vandaks;0,0028109815040697566;792532,5989382376;37,024320074028665;5,0634112719892554;0;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;2140575;2502600460050;2327;Ranunculus peltatus subsp. peltatus;Storblomstret vandranunkel;0,11409503436696623;725686,7303869048;33,90151750895227;4,27222166086968;210;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2140575;2900650030031;6514;Zannichellia palustris var. palustris;Krybende vandkrans;0,06143578773605873;974058,8641140112;45,50458517948284;4,716794497012521;70;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;2140575;1601010100800;84;Chara globularis;Skør kransnål;0,27740506567671075;583628,1504117063;27,265043070790217;2,0642210594222785;0;2
