﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Dybdemåling nr;Startdato;Bunddybde (m);Sigtdybde (m);Springlag;Springlag startdybde (m);Springlag slutdybde (m);Sigt til bund;Højdereference;Referencekote (m);Målt vandstand (m);Vandstandskote (m);Kvalitetsmærke
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;19-09-2001;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bfefe069-d41d-4e69-808e-8f4e43561f17;Aktivitetssted;32;664937;6067429;1;19-09-2001 11:15:00 +02:00;9999;2,9;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;25-08-1992;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/db9dbb59-8f59-4a24-bafe-6291d70468a6;Aktivitetssted;32;665547;6067368;1;25-08-1992 12:00:00 +02:00;3,3;3,3;;;;Ja;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;06-08-1991;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e9054dbb-fc87-4193-96aa-a9fea162daf2;Aktivitetssted;32;665547;6067368;1;06-08-1991 12:35:00 +02:00;1,75;1,75;;;;Ja;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;16-06-1999;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8b6e0541-5e3b-4b79-847b-2748032b4d7e;Aktivitetssted;32;664937;6067429;1;16-06-1999 10:00:00 +02:00;9999;2,7;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;12-11-1996;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/96d3ef6e-3097-4a31-aad4-d270b58beb89;Aktivitetssted;32;666003;6065651;1;12-11-1996 10:00:00 +01:00;2,8;2,5;;;;Nej;DNN;9999999;9999988,430000236;10,56999976374209;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;03-07-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/130fb373-a7ba-4ff9-a0a3-acea76293700;Aktivitetssted;32;665547;6067368;1;03-07-1989 11:45:00 +02:00;4,2;4,2;;;;Ja;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;24-08-1994;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bb2af175-02da-4538-9bf7-ef90d73547ec;Aktivitetssted;32;666003;6065651;1;24-08-1994 10:30:00 +02:00;2;1,65;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-10-1990;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/20d6920b-0921-447f-b9ce-f09fe936c5e4;Aktivitetssted;32;666003;6065651;1;18-10-1990 12:45:00 +01:00;2,4;1,75;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;28-04-2003;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ea3a7230-576f-4a1a-bd29-316c19fb48e9;Aktivitetssted;32;666003;6065651;1;28-04-2003 10:25:00 +02:00;3;1,55;;;;Nej;DNN;9999999;9999988,340000238;10,659999761730433;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;09-12-1996;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5a36b2df-b830-4b7e-be2c-18d3b54d6f4a;Aktivitetssted;32;664937;6067429;1;09-12-1996 10:50:00 +01:00;9999;2,4;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;21-07-2004;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8a58f0bd-f4c3-4f62-916a-db9c36ac75d9;Aktivitetssted;32;666003;6065651;1;21-07-2004 11:30:00 +02:00;3,1;2,4;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-05-1998;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bd57ef4e-57bf-485a-8271-2687f6ff195b;Aktivitetssted;32;666003;6065651;1;19-05-1998 07:00:00 +02:00;3,2;1,75;;;;Nej;DNN;9999999;9999988,26000024;10,739999759942293;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;19-04-1995;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/02772e47-8eb6-4f51-a1a2-f950a14901f5;Aktivitetssted;32;666003;6065651;1;19-04-1995 10:00:00 +02:00;3;1,2;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;21-04-1997;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/efd48078-f90a-4fcc-a23d-2aca94aa2dc7;Aktivitetssted;32;664937;6067429;1;21-04-1997 12:35:00 +02:00;9999;1,8;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;03-04-1997;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/34adbb35-5be3-4f3e-8502-fa94d8c55e0a;Aktivitetssted;32;664937;6067429;1;03-04-1997 10:15:00 +02:00;9999;2;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;28-04-1999;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f657fbca-b448-4a9f-927e-837a293bd99c;Aktivitetssted;32;664937;6067429;1;28-04-1999 12:00:00 +02:00;9999;1,05;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;08-01-1991;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e00bab5f-27bb-4ade-aaf2-bc25a7dd5685;Aktivitetssted;32;665547;6067368;1;08-01-1991 10:10:00 +01:00;2,1;2,1;;;;Ja;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;27-05-2003;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8a276e4b-8d10-48cd-a0b0-73977912b0d7;Aktivitetssted;32;666003;6065651;1;27-05-2003 10:30:00 +02:00;2,6;2,5;;;;Nej;DNN;9999999;9999988,340000238;10,659999761730433;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-02-1996;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ef4c6d43-2eee-4102-bc27-826360485338;Aktivitetssted;32;666003;6065651;1;06-02-1996 11:30:00 +01:00;9999;;;;;;DNN;9999999;9999988,440000236;10,559999763965607;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;12-06-1995;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b5be53a1-80bf-49c0-b9e5-4cd0a941c342;Aktivitetssted;32;664937;6067429;1;12-06-1995 13:20:00 +02:00;9999;3;;;;Nej;;;;;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;15-04-1996;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e967bf3b-811d-47ae-bf01-c380c0a2f34b;Aktivitetssted;32;664937;6067429;1;15-04-1996 10:45:00 +02:00;9999;1,5;;;;Nej;;;;;2
Station;64000016;RØGBØLLE SØ, NORDB;32;665547;6067368;Lolland;Region Sjælland;Sø;Røgbøllesø;20-06-1974;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/16067a09-f8f0-4762-bc34-bcec792e7135;Aktivitetssted;32;665547;6067368;1;20-06-1974 00:01:00 +01:00;0,5;0,5;;;;Ja;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;23-09-1999;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d35f6a86-00c7-4b21-ad61-426b2710988f;Aktivitetssted;32;666003;6065651;1;23-09-1999 12:20:00 +02:00;3;3;;;;Ja;DNN;9999999;9999988,440000236;10,559999763965607;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;23-04-2014;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/503be183-540d-4cd5-bf0c-b8d4bbc8cf00;Aktivitetssted;32;666003;6065651;1;23-04-2014 11:57:00 +02:00;2,9;2,9;;;;Ja;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;21-08-1989;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/1ee5a8f5-dce2-4de7-ac0d-eab0a978c06d;Aktivitetssted;32;666003;6065651;1;21-08-1989 13:00:00 +02:00;2,5;1,7;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;08-09-1992;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4d6b7c7d-c4cd-4329-8f99-0eceb397f223;Aktivitetssted;32;666003;6065651;1;08-09-1992 11:05:00 +02:00;2,7;2,4;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;02-09-1996;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/bb7b7442-7238-4160-b538-76dba1dfeac4;Aktivitetssted;32;666003;6065651;1;02-09-1996 12:00:00 +02:00;2,9;2,5;;;;Nej;DNN;9999999;9999988,530000234;10,469999765977263;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;28-07-1992;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/56b6c6ec-0f8d-4f25-a688-cf0c9ab8abd2;Aktivitetssted;32;666003;6065651;1;28-07-1992 12:35:00 +02:00;2,8;1,5;;;;Nej;;;;;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;06-04-2000;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e9fc9bc5-6081-4fb8-95d5-e4798ccb78cf;Aktivitetssted;32;666003;6065651;1;06-04-2000 10:15:00 +02:00;3,5;1,35;;;;Nej;DNN;9999999;9999988,180000242;10,819999758154154;2
Station;64000017;RØGBØLLE SØ, SYDB HOVED ST;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;29-07-1999;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4aaba2b9-6ffe-4ad4-a238-9758d25f04e7;Aktivitetssted;32;666003;6065651;1;29-07-1999 11:45:00 +02:00;3,1;1,3;;;;Nej;DNN;9999999;9999988,350000238;10,64999976195395;2
Station;64000239;Røgbølle;32;664937;6067429;Lolland;Region Sjælland;Sø;Røgbølle Sø;16-11-1999;1;Måledybder, Sø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/d10ae96a-6b9e-41d7-9779-e2fe7bd553cf;Aktivitetssted;32;664937;6067429;1;16-11-1999 09:55:00 +01:00;9999;2,4;;;;Nej;;;;;2
